full_name,player_id,season
LeBron James,2544,2025-26
Chris Paul,101108,2025-26
Kyle Lowry,200768,2025-26
Kevin Durant,201142,2025-26
Al Horford,201143,2025-26
Mike Conley,201144,2025-26
Jeff Green,201145,2025-26
Russell Westbrook,201566,2025-26
Kevin Love,201567,2025-26
Eric Gordon,201569,2025-26
Brook Lopez,201572,2025-26
Nicolas Batum,201587,2025-26
DeAndre Jordan,201599,2025-26
James Harden,201935,2025-26
James Harden,201935,2025-26
Stephen Curry,201939,2025-26
DeMar DeRozan,201942,2025-26
Jrue Holiday,201950,2025-26
Taj Gibson,201959,2025-26
Garrett Temple,202066,2025-26
Paul George,202331,2025-26
Jonas Valanciunas,202685,2025-26
Bismack Biyombo,202687,2025-26
Klay Thompson,202691,2025-26
Kawhi Leonard,202695,2025-26
Nikola Vučević,202696,2025-26
Nikola Vučević,202696,2025-26
Tobias Harris,202699,2025-26
Jimmy Butler III,202710,2025-26
Anthony Davis,203076,2025-26
Anthony Davis,203076,2025-26
Bradley Beal,203078,2025-26
Andre Drummond,203083,2025-26
Harrison Barnes,203084,2025-26
Draymond Green,203110,2025-26
Khris Middleton,203114,2025-26
Khris Middleton,203114,2025-26
CJ McCollum,203468,2025-26
CJ McCollum,203468,2025-26
Dennis Schröder,203471,2025-26
Dennis Schröder,203471,2025-26
Kelly Olynyk,203482,2025-26
Kentavious Caldwell-Pope,203484,2025-26
Mason Plumlee,203486,2025-26
Mason Plumlee,203486,2025-26
Rudy Gobert,203497,2025-26
Steven Adams,203500,2025-26
Tim Hardaway Jr.,203501,2025-26
Giannis Antetokounmpo,203507,2025-26
Seth Curry,203552,2025-26
Thanasis Antetokounmpo,203648,2025-26
Zach LaVine,203897,2025-26
Jordan Clarkson,203903,2025-26
Gary Harris,203914,2025-26
Jerami Grant,203924,2025-26
Doug McDermott,203926,2025-26
Aaron Gordon,203932,2025-26
Marcus Smart,203935,2025-26
Kyle Anderson,203937,2025-26
Kyle Anderson,203937,2025-26
Dwight Powell,203939,2025-26
Julius Randle,203944,2025-26
Andrew Wiggins,203952,2025-26
Joel Embiid,203954,2025-26
Dario Saric,203967,2025-26
Clint Capela,203991,2025-26
Bogdan Bogdanović,203992,2025-26
Jusuf Nurkić,203994,2025-26
Nikola Jokić,203999,2025-26
Kristaps Porziņģis,204001,2025-26
Kristaps Porziņģis,204001,2025-26
Joe Ingles,204060,2025-26
T.J. McConnell,204456,2025-26
Tyus Jones,1626145,2025-26
Tyus Jones,1626145,2025-26
D'Angelo Russell,1626156,2025-26
D'Angelo Russell,1626156,2025-26
Karl-Anthony Towns,1626157,2025-26
Kelly Oubre Jr.,1626162,2025-26
Devin Booker,1626164,2025-26
Cameron Payne,1626166,2025-26
Myles Turner,1626167,2025-26
Bobby Portis Jr.,1626171,2025-26
Kevon Looney,1626172,2025-26
Norman Powell,1626181,2025-26
Pat Connaughton,1626192,2025-26
Larry Nance Jr.,1626204,2025-26
Royce O'Neale,1626220,2025-26
Domantas Sabonis,1627734,2025-26
Kris Dunn,1627739,2025-26
Buddy Hield,1627741,2025-26
Buddy Hield,1627741,2025-26
Brandon Ingram,1627742,2025-26
Skal Labissiere,1627746,2025-26
Caris LeVert,1627747,2025-26
Dejounte Murray,1627749,2025-26
Jamal Murray,1627750,2025-26
Jakob Poeltl,1627751,2025-26
Taurean Prince,1627752,2025-26
Jaylen Brown,1627759,2025-26
Gary Payton II,1627780,2025-26
Pascal Siakam,1627783,2025-26
Guerschon Yabusele,1627824,2025-26
Guerschon Yabusele,1627824,2025-26
Ivica Zubac,1627826,2025-26
Ivica Zubac,1627826,2025-26
Dorian Finney-Smith,1627827,2025-26
Derrick Jones Jr.,1627884,2025-26
Alex Caruso,1627936,2025-26
Markelle Fultz,1628365,2025-26
Lonzo Ball,1628366,2025-26
De'Aaron Fox,1628368,2025-26
Jayson Tatum,1628369,2025-26
Malik Monk,1628370,2025-26
Jonathan Isaac,1628371,2025-26
Lauri Markkanen,1628374,2025-26
Donovan Mitchell,1628378,2025-26
Luke Kennard,1628379,2025-26
Luke Kennard,1628379,2025-26
Zach Collins,1628380,2025-26
John Collins,1628381,2025-26
OG Anunoby,1628384,2025-26
Jarrett Allen,1628386,2025-26
Bam Adebayo,1628389,2025-26
Isaiah Hartenstein,1628392,2025-26
Tony Bradley,1628396,2025-26
Tony Bradley,1628396,2025-26
Kyle Kuzma,1628398,2025-26
Derrick White,1628401,2025-26
Josh Hart,1628404,2025-26
Dillon Brooks,1628415,2025-26
Thomas Bryant,1628418,2025-26
Monte Morris,1628420,2025-26
Luke Kornet,1628436,2025-26
Chris Boucher,1628449,2025-26
Maxi Kleber,1628467,2025-26
Nigel Hayes-Davis,1628502,2025-26
Grayson Allen,1628960,2025-26
Marvin Bagley III,1628963,2025-26
Marvin Bagley III,1628963,2025-26
